Asunnon tyyppi,Sijanti,Hinta,Koko,Rakennus vuosi
Kerrostalo | 3h + k + s,"Jokivarrentie 12 I, Pirttimäki, Jyväskylä",189 000 €,"71,5 m²",2012
Kerrostalo | 3h + k,"Haavikkotie 3 D, Lohikoski, Jyväskylä",69 000 €,79 m²,1979
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Paritalo | 6h, k","Eräpälkäneentie 34, Nenäinniemi, Jyväskylä",279 000 €,166 m²,1996
"Kerrostalo | 2h, rh, kk, kh","Vapaudenkatu 83, Keskusta, Jyväskylä",118 000 €,56 m²,1943
"Rivitalo | 3h, k, wc, kph, sauna, vh + terassi ja varasto","Kultalakintie 2 B9, Keltinmäki, / Jyväskylä Jyväskylä",119 000 €,81 m²,1984
Rivitalo | 3h + k + kph + s + wc + vh + valokatettu terassi + varasto,"Halssilanrinne 11, Halssila, Jyväskylä",112 000 €,"77,5 m²",1981
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 5h + k + kph + s + wc + p + var,"Kopparinkatu 6, Kuokkala, Jyväskylä",176 000 €,"105,5 m²",1992
Omakotitalo | 3mh + oh + k + tkh + khh + kph + s + vh + varasto,"Nahikkaantie 21, Mäyrämäki, Jyväskylä",177 000 €,116 m²,1977
"Kerrostalo | 2h, k, s","Sepänkatu 13 B, Nisula, Jyväskylä",128 000 €,55 m²,1984
"Omakotitalo | oh, 2k, mh, 2 ask.h, 2 ph, 2 s, 2 wc, 2vh, kylmä v","Teivaalantie 6, Myllyjärvi, Jyväskylä",147 000 €,160 m²,1994
Kerrostalo | 3k + k,"Puistokatu 15, Keskusta, Jyväskylä","197 920,38 €",65 m²,1961
"Omakotitalo | 5h, k, s, kellari, at","Mestarinkatu 10, Tikkakoski, Jyväskylä",93 000 €,113 m²,1963
Kerrostalo | 4h + k,"Karsikkotie 5 D, Pupuhuhta, Jyväskylä",59 000 €,"89,5 m²",1976
Omakotitalo | 4mh + keittiö + olohuone + s + ph + khh + vh + 2wc + varastot,"Korkeakoskentie 38, Keljo, Jyväskylä",355 000 €,"169,9 m²",2004
Rivitalo | 3h + k + vh + kph + s + wc + khh + ak + var,"Voikonkatu 23 as1, Mannila, Jyväskylä",242 000 €,"83,3 m²",2011
Omakotitalo | 3h + 2k + 2wc + harr.h + s + tekn + var.,"Rastaantie 19, Kyyhkysenmäki, Jyväskylä",129 000 €,90 m²,1950
"Rivitalo | 4h, k, s, kph, 2wc, 2vh, ter, var","Ritoharjuntie 14-16, Palokka, Jyväskylä",169 000 €,"97,5 m²",1982
Kerrostalo | 3h + k + kph + parveke,"Haapatie 2, Vaajakoski, Jyväskylä",180 000 €,82 m²,1958
Luhtitalo | 2h + k + ph + ter,"Saarikonkatu 2, Kuokkalanpelto, Jyväskylä",107 000 €,"50,5 m²",1992
"Rivitalo | 3h, k, s, kph, khh, vh, wc, var, ter","Revonkatu 26 A 7, Halssila, Jyväskylä",143 500 €,72 m²,1985
"Kerrostalo | 3h, kk, s, kph, vh, las.p","Ryytipolku 2, Kuokkala, Jyväskylä",215 000 €,67 m²,2016
"Rivitalo | 5h, k, s, kph, 2wc, vh, var, ter, p","Viertäjäntie 20, Kangasvuori, Jyväskylä",164 000 €,129 m²,1976
Rivitalo | 3h + k,"Hauskalantie 6 B, Keljo, Jyväskylä",156 000 €,"82,5 m²",1988
Kerrostalo | 2H + K + S,"Sääkslahdentie 8 A 12, Sarvivuori, Jyväskylä","9 074,14 €","60,5 m²",1993
Rivitalo | 4h + k + khh + s + kph,"Urheilutie 34, Vaajakoski, Jyväskylä",193 000 €,101 m²,2001
Kerrostalo | 3h + k,"Rajakatu 28, keskusta, Jyväskylä",185 000 €,87 m²,1954
"Omakotitalo | 4h, k, kh, s, pkh, et, vh, varasto","Saalahdentie 101, Korpilahti,, Saakoski Jyväskylä",259 000 €,140 m²,1974
"Rivitalo | 3h, k, kh, s, wc, vh, p","Kaislikkotie 11, Heinälampi, Jyväskylä",126 000 €,81 m²,1980
"Kerrostalo | 2h, k, s","Äijäläntie 25, Väinölä, Jyväskylä",162 000 €,50 m²,2018
Kerrostalo | 2h + kt + parv,"Ylistönmäentie 33, Ylistönmäki, Jyväskylä",125 425 €,"38,5 m²",2020
"Rivitalo | 4h, k, s","Mesikämmen 1, Halssila, Jyväskylä",125 000 €,"93,5 m²",1980
"Rivitalo | 2h, k, s, kph, wc, vh, var, ter","Keljonkankaantie 52, Keljonkangas, Jyväskylä",109 000 €,61 m²,1974
"Omakotitalo | 5h, k, rt, s, kph, khh, pkh, 3wc, ask.h, var, ulla","Huhta 14, Kangasrinne, Jyväskylä",48 000 €,138 m²,1957
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Rivitalo | 3H + K + S,"KIRRINKYDÖNTIE 5, Jyskä, Jyväskylä","19 131,89 €",75 m²,1997
"Rivitalo | 3h, k, s","Kivipelto 4, Kekkola, Jyväskylä",147 000 €,80 m²,1987
Kerrostalo | 3h + kt + rt + kph + s + lasp + var + autopaikka,"Visalankuja 1, Palokka, JYVÄSKYLÄ",215 000 €,71 m²,2014
"Kerrostalo | 3h, k, s, kph, las.p.","Runkotie 3 A, Aittorinne, Jyväskylä",219 000 €,"64,5 m²",2015
"Omakotitalo | 5h, k","Pohjantähdentie 30, Vääräjärvi, Jyväskylä",314 150 €,117 m²,2018
"Kerrostalo | 2h, k, s, kph, vh, p","Korkeakoskentie 23, Keljo, Jyväskylä",105 000 €,52 m²,2000
Rivitalo | 3h + k + työh + kph + var,"Taidepolku 3 A 5, Viitaniemi/Nisula, Jyväskylä",138 000 €,70 m²,1962
Omakotitalo | oloh. + keittiö + mh + kph + ullakkohuone,"Ilmoniementie 181, Oravasaari, Jyväskylä",29 500 €,30 m²,1929
-1,-1,-1,-1,-1
"Kerrostalo | 3h, k, s","Jokivarrentie 12 G, Pirttimäki, Jyväskylä",198 000 €,"71,5 m²",2012
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Omakotitalo | 5h, k, kph, s, apuk / tekn.tila, 2wc, parveke, terassi","Suksipajantie 4 B, Samulinniemi, Jyväskylä",209 000 €,"151,2 m²",1991
Kerrostalo | 2h + kt + s,"Mannisenrinne 7, Mannisenmäki, Jyväskylä","19 751,32 €","45,5 m²",2017
Kerrostalo | 2h + k + kph + p,"Kaakonpyrstö 5, Sulku, Jyväskylä",39 500 €,60 m²,1976
Kerrostalo | 2h + k + kh + p,"Käyräkatu 7 A, Mattilanpelto, Jyväskylä",117 000 €,45 m²,1953
"Rivitalo | 3h, k, s","Kotaniementie 7, Vaajakoski/Kaunisharju, Jyväskylä",289 000 €,"88,5 m²",2016
-1,-1,-1,-1,-1
Kerrostalo | 2h + k + s + las.parv.,"Pohjanniementie 1, Ritoniemi, Jyväskylä",79 500 €,52 m²,1984
Rivitalo | 3h + k + s,"Hevoshaka 36, Keljonkangas, Jyväskylä",209 000 €,79 m²,2017
-1,-1,-1,-1,-1
"Kerrostalo | 2h, k, kph, ter","Haukanniemenpolku 3, Laajavuori, Jyväskylä",55 500 €,58 m²,1972
"Kerrostalo | 4h, k, kph, wc, vh, parv.","Laajavuorentie 1, Kortepohja, Jyväskylä",96 000 €,85 m²,1968
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Rivitalo | 4mh + oh + kirjastohuone + kotiteatteri + 2xkph + s,"Anttoninkatu 15, Lohikoski, Jyväskylä",395 000 €,276 m²,1976
Kerrostalo | 2h + kk + kph + + lasp + var,"Puistotori 2, 40100, Keskusta, Jyväskylä",171 000 €,40 m²,1971
Kerrostalo | 3H + K + S,"KESKISENTIE 3, Kuokkala, Jyväskylä","12 966,34 €",82 m²,1991
Kerrostalo | 3h + k + s + lasitettu p,"Pehtorintie 4, Kortepohja, Jyväskylä",229 000 €,"74,5 m²",2014
"Kerrostalo | 2h, k, kph, vh, p","Haavikkotie 3, Lohikoski, Jyväskylä",79 000 €,"58,5 m²",1978
"Rivitalo | 3h, k, s, vh, wc + katettu terassi","Noviisikatu 8, Tikkakoski, Jyväskylä",87 000 €,88 m²,1974
Kerrostalo | 3h + k + kph + vh + lasitettu parveke,"Haaparinteentie 10, Vaajakoski, Jyväskylä",50 000 €,74 m²,1975
"Luhtitalo | 2h, k, s","Kakaravaara 14 A, Vaajakoski, Jyväskylä",89 000 €,"55,5 m²",1991
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Kerrostalo | 3h, k, kph, 2xvh, lasitettu parveke","Pupuhuhdantie 20, Pupuhuhta, Jyväskylä",46 200 €,77 m²,1978
"Omakotitalo | 4h, k, kph, s, khh, wc, ak, var","Kaakkuri 12, Kaakkolampi, Jyväskylä",238 000 €,113 m²,2008
"Kerrostalo | 2h, kt, s, p","Keskustie 22, Keskusta, Jyväskylä",143 000 €,54 m²,1950
-1,-1,-1,-1,-1
"Rivitalo | 4h, k, vh, pkh, kph, s","Piilolankuja 3 B, Kukkumäki, Jyväskylä",159 000 €,"93,5 m²",1987
"Rivitalo | 3h, k, s, kph","Sievisenmäentie 15, Jyskä, Jyväskylä",178 000 €,"76,5 m²",2002
Omakotitalo | 2 mh + oh + k + khh + kph / s + wc + autokatos + vara,"Kissalankuja 4, Tikkakoski, Jyväskylä",179 000 €,90 m²,2012
"Kerrostalo | 3h, k, kph, vh, las.p","Patotie 2, Myllyjärvi, Jyväskylä",106 000 €,77 m²,1979
"Omakotitalo | 6-7 h, keittiö, sauna, pesuhuone, khh, 3xwc, varas","Isokönkä 8, Kuokkalanpelto, Jyväskylä",349 000 €,190 m²,1992
"Rivitalo | 5h, k, takkahuone, s, var","Seminaarinkatu 22, Seminaarinrinne, Jyväskylä",415 000 €,169 m²,1996
Kerrostalo | 4h + k + s,"Porrastie 2, Myllyjärvi, Jyväskylä",88 000 €,88 m²,1983
"Rivitalo | 2h, k, kph, s","Alakoskentie 4, Vaajakoski, Jyväskylä",89 000 €,54 m²,1989
Kerrostalo | 2h + kk,"Keljonkatu 3, Kukkumäki, Jyväskylä",79 500 €,35 m²,1984
"Omakotitalo | Päijänteen omarantainen 5h, k, rt, tkh, harr.tila, khh,","Pursipolku 3, Jyskä, Jyväskylä",669 000 €,264 m²,2001
"Kerrostalo | 3h, k, wc, kph, s, las. p","Schaumanin puistotie 47, Lutakko, Jyväskylä",239 000 €,"66,5 m²",2006
Kerrostalo | 2h + k + p,"Vapaudenkatu 74, Keskusta, Jyväskylä",124 000 €,52 m²,1972
Kerrostalo | 2h + k + kph + p,"Yliopistonkatu 44 A, Keskusta, Jyväskylä",125 000 €,53 m²,1961
"Kerrostalo | 3 mh, oloh, avokeittiö, takkah, pesuh, s, erill. w","Peltoniementie 4 A, Suuruspää, Jyväskylä",550 000 €,141 m²,2003
"Kerrostalo | 2 huonetta, keittiö, kylpyhuone, sauna, parveke","Palstatie 6 D, Kuokkala, Jyväskylä",100 000 €,57 m²,1994
"Kerrostalo | 3h, kk, kph, vh, p","Viitaniementie 10, Viitaniemi, Jyväskylä",134 000 €,56 m²,1961
"Omakotitalo | 5 mh, oh, k, rt, tkh, kph, erill.wc, pkh, ph, s, k","Lummelahdentie 150, Palokka/, Lummelahti Jyväskylä",480 000 €,205 m²,1986
Rivitalo | Oh + 3mh + vh + k + erill wc + kph + terassi + parveke + varasto + a,"Suluntie 26 C, Kaakkolampi, Jyväskylä",170 000 €,96 m²,1983
Kerrostalo | 2h + kk + p,"Eeronkatu 6, Nisula, Jyväskylä",109 500 €,37 m²,1987
Omakotitalo | 4h + k + s,"Mehtolantie 32, Puuppola, Jyväskylä",283 000 €,"103,9 m²",1989
"Kerrostalo | 3h, k, kph, p","Cygnaeuksenkatu 5, Keskusta, Jyväskylä",163 000 €,64 m²,1959
"Kerrostalo | 2h, kk, kph, vh","Vaasankatu 9, Keskusta, Jyväskylä",130 000 €,45 m²,1960
Rivitalo | 3h + k + s,"Tuulimyllyntie 23 B, Myllyjärvi, Jyväskylä",145 000 €,80 m²,1977
Kerrostalo | 2h + kk + vh + kh + s,"Kansakoulukatu 8, Keskusta, Jyväskylä",139 500 €,43 m²,1960
"Rivitalo | 4h, k, s","Haperontie 3, Keltinmäki, Jyväskylä",89 000 €,98 m²,1982
"Kerrostalo | 3h, k, kph, wc, p","Valssikuja 6, Kekkola, Jyväskylä",97 000 €,"79,5 m²",1995
-1,-1,-1,-1,-1
Kerrostalo | 3h + k / kk + kph + p,"Keskussairaalantie 17, Mattilanpelto, Jyväskylä",135 000 €,"63,5 m²",1950
Kerrostalo | 2h + k + s + ph + vh + lasitettu parveke,"Puistokatu 12, keskusta, Jyväskylä",155 000 €,58 m²,1997
"Rivitalo | 3h, k, 2vh, wc, khh / wc, kph, s, lasitettu terassi, ak, var","Pärnäsentie 4 , Palokka, Jyväskylä",249 000 €,83 m²,2017
Rivitalo | 4H + K + S,"KIRRINKYDÖNTIE 5, Jyskä, Jyväskylä","21 492,16 €","85,5 m²",1997
"Omakotitalo | 6h + k + khh + kph + sauna + pkh + 3xwc + kirjastohuone + erillinen ""yksiö"".","Huhtasuonkatu 33, Huhtasuo, Jyväskylä",338 000 €,145 m²,1981
Kerrostalo | 2h + k + kph + lasp,"Tyyppäläntie 4, Lohikoski, Jyväskylä",75 000 €,"57,5 m²",1967
"Kerrostalo | 2 huonetta, keittokomero, kylpyhuone, sauna, lasit","Peltoniementie 4 A, Suuruspää, Jyväskylä",149 000 €,43 m²,2003
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Kerrostalo | 3h, k + p","Haperontie 9, Jyväskylä, Jyväskylä",67 000 €,76 m²,1977
Kerrostalo | 2h + kk + kh,"Tyyppäläntie 6, Lohikoski, Jyväskylä",63 500 €,39 m²,1966
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
"Kerrostalo | 3h, k, kh, p","Visalantie 1 E, Palokka, Jyväskylä",109 000 €,75 m²,1973
"Omakotitalo | 5h, k, s, kph, khh, 3wc, vh, 2var, kell., p","Alvettulanmutka 7, Nenäinniemi, Jyväskylä",249 000 €,143 m²,1991
"Kerrostalo | 2h, kk, s","Ryytipolku 6 A, Sulkula, Jyväskylä",149 000 €,"52,5 m²",2015
"Rivitalo | 2 makuuhuonetta, olohuone, keittiö, 2*wc, pesuhuon","Taaplaajantie 5 D, Säynätsalo, Jyväskylä",114 000 €,81 m²,1976
Kerrostalo | 2H + K + S,"Schaumanin puistotie 21 A 24, Lutakko, Jyväskylä","16 428,25 €",47 m²,2002
Luhtitalo | 2H + KK + S,"Eerolankuja 2-4 A 10, Palokka, Jyväskylä","13 389,91 €",45 m²,2004
"Rivitalo | 3h, k, s","Suluntie 26 B, Kaakkolampi, Jyväskylä",119 000 €,81 m²,1983
Rivitalo | 4h + k + kph + s + wc + ter.,"Keljonkankaantie 52, Keljonkangas, Jyväskylä",139 000 €,80 m²,1974
"Kerrostalo | 3h, k, kph, vh, lasitettu p","Kangaslammentie 6 A, Kangaslampi, Jyväskylä",65 500 €,73 m²,1976
"Omakotitalo | 3h, tupakeittiö, pkh, ph, s, wc, et, tk,","Hirvenpolku 5, Palokka, Jyväskylä",73 000 €,108 m²,1977
"Kerrostalo | 2h, kt, kph","Mattilankatu 40, Mattilanpelto, Jyväskylä",144 000 €,51 m²,1961
"Kerrostalo | 2h, kt, kph","Mattilankatu 40, Mattilanpelto, Jyväskylä",119 000 €,41 m²,1961
"Kerrostalo | 2h, kt, kph","Mattilankatu 40, Mattilanpelto, Jyväskylä",129 000 €,45 m²,1961
Kerrostalo | 4h + k,"Eemelintie 4, Haapala, Jyväskylä",62 900 €,"87,5 m²",1971
Kerrostalo | 3h + k,"Eemelintie 4, Haapaniemi, Jyväskylä",57 800 €,74 m²,1971
Kerrostalo | 3h + k + kh + p,"Pupuhuhdantie 18, Pupuhuhta, Jyväskylä",57 800 €,75 m²,1977
Rivitalo | 3h + k + kph / s + wc,"Kivipelto 3, KEKKOLA, Jyväskylä",149 000 €,78 m²,1989
Kerrostalo | 3h + k + kh + p,"Tyyppäläntie 6, Lohikoski, Jyväskylä",74 800 €,70 m²,1966
"Kerrostalo | 3h, k, kph, vh, las.p","Vaasankatu 10, Keskusta, Jyväskylä",189 000 €,72 m²,1963
"Rivitalo | 3h, k, s, terassi","Hietajärventie 3, Tikkakoski, Jyväskylä",152 000 €,"73,5 m²",2008
"Rivitalo | 3h, k, kh, s, wc, piha","Näsintie 7, Ritoniemi, Jyväskylä",169 000 €,79 m²,2000
Kerrostalo | 2 huonetta + keittiö + lasitettu parveke,"Voionmaankatu 9 C, Mäki-Matti, Jyväskylä",132 000 €,47 m²,1962
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 1h + kk + p,"Helokantie 7, Keltinmäki, Jyväskylä",32 000 €,37 m²,1979
"Omakotitalo | 5h, k, rt, halli, vh, 2xwc, harrastetila x2, pkh, s, ph, tkh","Ikolantie 2, Korpilahti, Jyväskylä",215 000 €,164 m²,1971
"Rivitalo | 2h, k, kph, s, wc","Lumikonkuja 1, Halssila, Jyväskylä",95 000 €,58 m²,1976
-1,-1,-1,-1,-1
"Kerrostalo | 4h, k, kh, wc, vh + lasit.p","Haukanniemenpolku 3, Laajavuori, Jyväskylä",79 000 €,83 m²,1972
"Rivitalo | 2h, kt, s, kph, terassi","Lehtissaarentie 18, Säynätsalo, Jyväskylä",88 000 €,"44,5 m²",1990
Kerrostalo | 3H + K + S + 2 x wc + lasik. parv.,"Kekkolantie 14 a 10, kekkola, Jyväskylä",149 900 €,"77,5 m²",1985
Rivitalo | 2H + K + S,"Toukokuja 1 B 11, Palokka, Jyväskylä","16 277,98 €",54 m²,2002
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Omakotitalo | 5h + k + vh + kph + s + 3 wc + khh + at + var,"Lehtokatu 12, Kypärämäki, Jyväskylä",199 000 €,150 m²,1942
"Kerrostalo | 4h, k, kph","Minna Canthin katu 22, Keskusta, Jyväskylä",239 000 €,"99,5 m²",1939
"Omakotitalo | 4 huonetta, keittiö, kylpyhuone, sauna, erill. wc,","Ainolantie 17, Korpilahti, Jyväskylä",110 000 €,115 m²,1971
Kerrostalo | 2h + kk + kph + p,"Ykköspesänkatu 4, Kuokkala, Jyväskylä",92 000 €,47 m²,1991
Luhtitalo | 3h + k + kph + s,"Jokivarrentie 12, Pirttimäki, Jyväskylä",209 000 €,"70,5 m²",2012
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 2H + KK + S,"Tourulantie 10 A 27, Tourula, Jyväskylä","17 300,74 €",41 m²,2006
Kerrostalo | 2H + KT + S,"Huhtalammentie 5 as 05, Ylämyllyjärvi, Jyväskylä","14 784,22 €",49 m²,2000
Kerrostalo | 3h + k + s + p,"Viilukuja 5, Lutakko, Jyväskylä",250 000 €,70 m²,2003
Rivitalo | 3H + K + S,"SUURUSPÄÄNTIE 18, Suuruspää, Jyväskylä","22 849,63 €",81 m²,1996
Omakotitalo | 4h + k + takkahuone + s + ph + wc + vh + autokatos + varasto + ja,"Hilkantie 3 A, Ritoniemi, Palokka Jyväskylä",199 000 €,123 m²,1987
Kerrostalo | 3h + kt + s,"Tiilitehtaantie 56, Palokka, Jyväskylä","28 559,14 €",69 m²,2016
Omakotitalo | Päijänteen ranta - OKT + Saunamökki,"Saalahden rantatie 63, Saakoski, Jyväskylä",379 000 €,"152,1 m²",2016
"Paritalo | 3h, k, kph, s, khh, vh, wc, terassi","Vaajalinnantie 20 B, Vaajakoski/Kotimäki, Jyväskylä",205 000 €,75 m²,2016
"Omakotitalo | oloh., + k + 2mh + s + ph + phh + 3wc + ask.huone","Kotikuja 2, Vaajakoski, Kotimäki Jyväskylä",199 000 €,104 m²,1962
"Kerrostalo | 2h, k, kh, p","Ilmarisenkatu 13-15 B, Keskusta, Jyväskylä",128 000 €,53 m²,1974
Kerrostalo | 2H + KT + S,"Jenkkakuja 2 A 01, Kekkola, Jyväskylä","16 808,25 €","67,5 m²",1995
Luhtitalo | 2H + KT + S,"Laurinpolku 1 A 05, Ristonmaa, Jyväskylä","18 103,38 €","58,5 m²",2000
"Rivitalo | 2 huonetta, keittiö, kylpyhuone, sauna, autotalli","Sohlberginkatu 2 A, Keljonkangas, Jyväskylä",99 000 €,58 m²,1975
Kerrostalo | 3h + k,"Pappilanvuorentie 8, Palokka, Jyväskylä",107 000 €,"66,5 m²",1989
Kerrostalo | 3h + k + s + kh + p,"Tuulimyllyntie 12 A, Myllyjärvi, Jyväskylä",118 000 €,71 m²,1987
Kerrostalo | 3h + k + s + parv,"Kirkkotie 6, Vaajakoski, Jyväskylä",89 600 €,68 m²,1967
"Rivitalo | 3h, k, kph, vh, p","Rasti 2, Kangasvuori, Jyväskylä",99 000 €,"78,5 m²",1977
"Rivitalo | 3h, k, s","Lummetie 5, Heinälampi, Jyväskylä",139 500 €,81 m²,1983
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 3h + k + kph + p,"Kangaskatu 1, Kypärämäki, Jyväskylä",99 000 €,64 m²,1989
Kerrostalo | 2h + k + kph,"Pitkäkatu 29, Mäki-Matti, Jyväskylä",114 000 €,47 m²,1954
Kerrostalo | 2h + vh + keittiö + kph + parveke,"Hannikaisenkatu 25 B, Keskusta, Jyväskylä",149 000 €,53 m²,1959
Kerrostalo | 1h + alkovi + keittiö + kph + sauna + parveke,"Kekkolantie 23 As, Kekkola, Jyväskylä",105 000 €,39 m²,2001
"Rivitalo | 2h, k, kh, s + valtava terassi + autokatospaikka","Mastotie 2 as., Korpilahti,, Tähtiniemi Jyväskylä",150 000 €,62 m²,2015
"Rivitalo | 4h, k, s, kph, wc, var, p, ter.","Ruokotie 6, Heinälampi, Jyväskylä",159 000 €,91 m²,1977
Kerrostalo | 3h + k + vh + kph + p,"Tuulimyllyntie 14 A, Myllyjärvi, Jyväskylä",79 000 €,74 m²,1981
"Rivitalo | 3h, k, oh, ph, s, kph, erill.wc, parv, terassi, va","Ylätuhdonkuja 1, Ristikivi, Jyväskylä",149 000 €,81 m²,1990
"Rivitalo | 5h, k, kph, s, wc, vh","Kettusentie 6, Palokka, Jyväskylä",169 000 €,111 m²,1979
Omakotitalo | 4h + k + kph / s + pukuh + 2wc + at + var + kylmiö,"Myllymestarintie 4, Myllyjärvi, Jyväskylä",158 000 €,140 m²,1975
Kerrostalo | 2h + k + kh + s + p,"Koskenkuja 3 C, Taulumäki, Jyväskylä",129 000 €,57 m²,1984
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Omakotitalo | 2mh + k + oh + varasto / ateljeehuone + varasto + tekn. tila,"Laajarannanpolku 20, Vaajakoski, Jyväskylä",179 000 €,92 m²,1967
Kerrostalo | 2h + kk + kph,"Yliopistonkatu 21, Keskusta, Jyväskylä",99 000 €,43 m²,1981
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
Kerrostalo | 3h + k + vh + p,"Kansakoulunkatu 7, Keskusta, Jyväskylä",135 000 €,57 m²,1960
Kerrostalo | 3h + k + khh + wc + parveke,"Lohikoskentie 18, Holsti, Jyväskylä",129 000 €,"84,5 m²",1967
Kerrostalo | 2h + k + kph + lasitettup.,"Pupuhuhdantie 8, Pupuhuhta, Jyväskylä",39 000 €,60 m²,1977
"Kerrostalo | 3h, k, kh, s, vh, lasit.p","Joensuuntie 1, Korpilahti, Jyväskylä",185 000 €,"74,5 m²",2014
"Omakotitalo | 5h, k, s + kellaritilat, varastorakennus","Saarijärventie 6, Mankola, Jyväskylä",319 000 €,200 m²,1946
Kerrostalo | 3h + k + s,"Ansaritie 6, Äijälänranta, Jyväskylä","31 290,61 €",76 m²,2013
"Kerrostalo | 4h, k, kph, s, khh / wc, vh","Sippulantie 4, Tikka, Jyväskylä",415 000 €,111 m²,2018
Omakotitalo | 3mh + oh + k + tak.h + ph + s + wc + vh + var. + at,"Huhtasuonkatu 30, Huhtasuo, Jyväskylä",139 000 €,113 m²,1975
"Omakotitalo | 4h, k, kph, s","Latvatie 16, Aittorinne, Jyväskylä",154 000 €,107 m²,1957
Kerrostalo | 2H + K + S,"SUURUSPÄÄNTIE 9, Kuokkala, Jyväskylä","16 077,07 €",50 m²,2001
Kerrostalo | 2H + KK + S,"WILHELM SCHILDTIN KATU 22, Kortesuo, Jyväskylä","16 101,26 €",52 m²,2002
Rivitalo | 3h + k + kh + s + vh + wc + ter,"Keskitie 10 as, Kaunisharju, Jyväskylä",129 000 €,"82,8 m²",1985
"Rivitalo | 3h, k, s, kph, wc, vh, var, ter","Ritoharjuntie 1, Palokka, Jyväskylä",119 000 €,75 m²,1986
Kerrostalo | 2h + k + s,"Kopparinkatu 2 B, Kuokkala, Jyväskylä",114 000 €,62 m²,1990
Kerrostalo | 3 h + k + s + p,"Hennalankuja 5, Palokka, Jyväskylä",84 000 €,71 m²,1983
