Asunnon tyyppi,Sijanti,Hinta,Koko,Rakennus vuosi
"Kerrostalo | 3h, k, kph, las.p","Kangaslammentie 10, Kangaslampi, Jyväskylä",59 000 €,73 m²,1974
Rivitalo | 3-4h + k + khh + kph + s + 2wc + ter + var + autok.,"Raivionmutka 10, Kuokkalanpelto, Jyväskylä",188 000 €,79 m²,1990
"Rivitalo | 4h, k, s","Reimaritie 1 C, Säynätsalo, Jyväskylä",209 000 €,101 m²,2008
Kerrostalo | 3h + k + s,"Kelokatu 8, Rasinrinne, Jyväskylä","24 743,5 €","71,5 m²",2010
Kerrostalo | 3h + k + s,"Ansaritie 6, Äijälänranta, Jyväskylä","30 190,97 €",73 m²,2013
Kerrostalo | 3H + KT + S,"Laurinpolku 5 A 09, Ristonmaa, Jyväskylä","21 943,13 €",74 m²,2003
Rivitalo | 3h + k + s + vh,"Sulunperäntie 1 a 2, Vaajakoski, Jyväskylä",149 000 €,"66,5 m²",2012
"Kerrostalo | 3h, k, kph","Viitaniementie 16, Viitaniemi, Jyväskylä",129 000 €,"65,5 m²",1962
"Rivitalo | 2h, k, s, kph, wc, ter, var","Sulunperäntie 8, Sulunperä, Jyväskylä",138 000 €,52 m²,2012
Kerrostalo | 2h + k + kph + las.parv,"Löylykatu 8 c 23, Mäki-Matti, Jyväskylä",133 000 €,45 m²,1966
"Omakotitalo | 5h, k, s, kh, khh, 2xwc, 2xvh","Karhunkierros 9, Halssila, Jyväskylä",384 000 €,161 m²,2010
"Omakotitalo | 1.krs:oh + k + et + wc. 2krs:2x mh, kellarikrs: sauna, k","Iloniementie 170, Korpilahti, Jyväskylä",99 000 €,80 m²,1950
"Rivitalo | 5h, k, s, kph, vh, 2wc, 2var, at","Saarijärventie 10, Taulumäki, Jyväskylä",197 000 €,138 m²,1974
Kerrostalo | 2h + k,"Laajavuorentie 3, Laajavuori, Jyväskylä",74 000 €,51 m²,1969
"Omakotitalo | 3h, k, khh, kph, s, vh, wc","Ikolantie 9, Korpilahti, Jyväskylä",109 000 €,90 m²,1986
"Rivitalo | 3-4h, k, kh, s, terassiparveke","Toritie 27, Tikka, Jyväskylä",187 000 €,"78,5 m²",2005
"Kerrostalo | 4h, k, kph, khh, p","Äijälänrannantie 32 As, Äijälänranta, Jyväskylä",399 000 €,93 m²,2019
"Kerrostalo | 3h, k, kph, s, vh, las.p.","Tuomiojärvenranta 6, Laajavuori, Jyväskylä",139 000 €,73 m²,1972
Rivitalo | 3h + k + khh + kps + s + ak,"Liitokurrenkaari 32, Kangasvuori, Jyväskylä",249 000 €,83 m²,2013
"Omakotitalo | 2-3mh, oh, k, kph, s, wc, at, kellarikerros","Kaivotie 5, Säynätsalo, Jyväskylä",115 000 €,95 m²,1948
Kerrostalo | 2h + k + kph + s + lasit.p,"Pohjanaho 6, Kekkola, Jyväskylä",95 000 €,"51,5 m²",1991
"Rivitalo | 4h, k, s","Ruulahdentie 6, Kuokkalanpelto, Jyväskylä",149 000 €,"90,5 m²",1992
"Kerrostalo | 4h, k, kh, lasit.p","Samettijalka 2, Keltinmäki, Jyväskylä",85 000 €,"87,5 m²",1974
"Rivitalo | 2h, k, kph, s","Valimonkatu 4 as, Tikkakoski, Jyväskylä",65 000 €,"48,5 m²",1988
"Kerrostalo | 2h, k","Pupuhuhdantie 10 E, Pupuhuhta, Jyväskylä",29 000 €,60 m²,1976
"Kerrostalo | 1 huone, keittiö, kylpyhuone, parveke","Valajankatu 12 A, Rautpohja, Jyväskylä",117 000 €,28 m²,2018
"Kerrostalo | 3 makuuhuonetta, olohuone, keittiö, kph, erill. wc","Puistokatu 1 A, Keskusta, Jyväskylä",229 000 €,92 m²,1960
Kerrostalo | 2h + kk + kh,"Rajakatu 34, Keskusta, Jyväskylä",109 000 €,"42,5 m²",1954
Kerrostalo | 2h + k,"Takalankuja 3-5, Kortepohja, Jyväskylä",85 500 €,59 m²,1975
Kerrostalo | 2h + kk + kph + vh,"Kaakonsiipi 2, Sulku, Jyväskylä",39 000 €,"52,5 m²",1980
